company,symbol,description
Apple Inc,AAPL,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops and sells consumer electronics, computer software, and online services Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne in April 1976 to develop and sell Wozniak's Apple I personal computer"
Abbott Laboratories Common Stock,ABT,Abbott Laboratories is an American multinational medical devices and health care company with headquarters in Abbott Park. Illinois. United States. The company was founded by Chicago physician Wallace Calvin Abbott in 1888 to formulate known drugs; today. it sells medical devices. diagnostics. branded generic medicines and nutritional products.
Adobe Inc Common Stock,ADBE,Adobe Inc.  is an American multinational computer software company. Incorporated in Delaware and headquartered in San Jose. California. it has historically focused upon the creation of multimedia and creativity software products. with a more recent foray into digital marketing software.Adobe was founded in December 1982 by John Warnock and Charles Geschke
adidas AG,ADDYY,Adidas is a German multinational corporation. founded and headquartered in Herzogenaurach. Germany. that designs and manufactures shoes. clothing and accessories. It is the largest sportswear manufacturer in Europe. and the second largest in the world. after Nike. It is the holding company for the Adidas Group. which consists of the Reebok sportswear company. 8.33% of the German football club Bayern München. and Runtastic. an Austrian fitness technology company. Adidas' revenue for 2018 was listed at €21.915 billion.
Amazon.com Inc.,AMZN,"is an American multinational technology company based in Seattle. Washington. which focuses on e-commerce. cloud computing. digital streaming. and artificial intelligence. It is considered one of the Big Five companies in the U.S. information technology industry. along with Google. Apple. Microsoft. and FacebookAmazon was founded by Jeff Bezos in Bellevue, Washington, on July 5, 1994."
The Boeing Company,BA,"is an American multinational corporation that designs. manufactures. and sells airplanes. rotorcraft. rockets. satellites. telecommunications equipment. and missilesBoeing was founded by William Boeing in Seattle, Washington on July 15, 1916. worldwide. The company also provides leasing and product support services. Boeing is among the largest global aerospace manufacturers;"
Bank of America Corporation Common Stock,BAC,is an American multinational investment bank and financial services holding company headquartered in Charlotte. North Carolina. with central hubs in New York City. London. Hong Kong. Dallas. and Toronto. Founded in San Francisco. Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States.
Walt Disney Company Common Stock,DIS,"is an American diversified multinational mass media and entertainment conglomerate headquartered at the Walt Disney Studios complex in Burbank. California.Disney was originally founded on October 16, 1923, by brothers Walt and Roy O. Disney as the Disney Brothers Cartoon Studio"
Ford Motor Company,F,Ford Motor Company. commonly known as Ford. is an American multinational automaker that has its main headquarters in Dearborn. Michigan. a suburb of Detroit. It was founded by Henry Ford and incorporated on June 16. 1903. The company sells automobiles and commercial vehicles under the Ford brand. and most luxury cars under the Lincoln brand.
Facebook Inc,FB,is an American social media conglomerate corporation based in Menlo Park. California. It was founded by Mark Zuckerberg. along with his fellow roommates and students at Harvard College. who were Eduardo Saverin. Andrew McCollum. Dustin Moskovitz and Chris Hughes. originally as TheFacebook.com—today's Facebook. a popular global social networking website. Facebook is one of the world's most valuable companies.
